"","Establishment.ID","Inspection.ID","Establishment.Name","Severity","Latitude","Longitude"
"3063",10273995,105040800,"SUBWAY","M",43.65901,-79.38787
"3064",10273996,105069353,"LETTIERI","M",43.65901,-79.38787
"3065",10274021,105216493,"TIM HORTONS","M",43.69121,-79.57566
"3066",10274027,105246112,"PAPE CHILDREN'S HOUSE","NA",43.67036,-79.3419
"3067",10274533,105080920,"JOHNNY'S TOP DOG  # 1315","NA",43.65351,-79.38411
"3068",10274540,105090829,"HOT DOG CART #1608","NA",43.65376,-79.38205
"3069",10274769,105349526,"PIZZA HUT","M",43.64168,-79.57669
"3070",10274791,105418838,"SILVER SPOON PAK-INDIAN CUISINE","S",43.76319,-79.30151
"3071",10274798,105171698,"WENDY'S","NA",43.7833,-79.20313
"3072",10275278,105127200,"TIM HORTONS","M",43.71109,-79.56704
"3073",10275385,105119273,"BAGEL WORLD","S",43.73692,-79.43772
"3074",10275386,105201670,"EVIA MANAGEMENT INC 104","NA",43.63269,-79.41994
"3075",10275389,105063524,"CONCESSION #1","NA",43.63269,-79.41994
"3076",10275393,105063526,"CONCESSION #2","NA",43.63269,-79.41994
"3077",10275396,105201674,"EVIA MANAGEMENT INC WEST","NA",43.63269,-79.41994
"3078",10275398,105063563,"PIZZA PIZZA - CONCESSION #3","NA",43.63269,-79.41994
"3079",10275616,104970830,"CAP'S VARIETY STORE","NA",43.73618,-79.24947
"3080",10275656,105182395,"FAMILY DAY - ST. SYLVESTER CHILD CARE CENTRE","M",43.80537,-79.30225
"3081",10275671,105063559,"PANINI WEST - STAND 4","NA",43.63269,-79.41994
"3082",10275681,105147882,"GRAYDON HALL CHILD CARE SERVICES","NA",43.72105,-79.33212
"3083",10275685,105063522,"CONCESSION # 5","NA",43.63269,-79.41994
"3084",10275843,105079260,"YOUR DOLLAR STORE WITH MORE","NA",43.75546,-79.44024
"3085",10275866,105067883,"SHOPPERS DRUG MART","NA",43.78468,-79.44639
"3086",10275887,105109885,"THE BRADGATE ARMS","C",43.68575,-79.40059
"3087",10276266,105074619,"SU-GOOD CHINESE RESTAURANT","M",43.68878,-79.3003
"3088",10276475,105350663,"ARABESQUE","M",43.65284,-79.431
"3089",10276561,105078950,"ANTHONY MANFREDI #1408","NA",43.65777,-79.38048
"3090",10276758,105107148,"TIM HORTONS","NA",43.66019,-79.4343
"3091",10276766,105040092,"ST FRANCIS XAVIER BEFORE & AFTER PROGRAM","NA",43.71086,-79.48341
"3092",10277242,105067490,"REPOSADO","NA",43.64724,-79.41995
"3093",10277414,105001698,"THE BIG GUY'S LITTLE COFFEE SHOP","NA",43.60119,-79.50242
"3094",10277559,105041643,"STARBUCKS","NA",43.76963,-79.36246
"3095",10277568,105110215,"AUBERGE DU POMMIER","S",43.7468,-79.40775
